,交易权属,产权年限,供暖方式,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总价,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,配备电梯,室,厅,厨,卫,西北,东,西,南,东南,东北,北,西南
3202,商品房,70.0,集中供暖,保利海德公园,2016.0,塔楼,钢混结构,42.98,391.0,10.0,复式,满五年,商业办公类,非共有,245,0.13636363636363635,高楼层,知春路,海淀,其他,有,1,1,1,2,0,0,1,0,0,0,0,0
3203,商品房,70.0,集中供暖,保利海德公园,2016.0,塔楼,钢混结构,44.28,401.0,10.0,复式,满五年,商业办公类,非共有,278,0.13636363636363635,中楼层,知春路,海淀,精装,有,1,1,1,2,0,0,0,1,0,0,0,0
3204,商品房,70.0,集中供暖,保利海德公园,1993.7698001480385,板楼,未知结构,145.0,2100.0,6.0,平层,满五年,普通住宅,非共有,391,1.0,顶层,知春路,海淀,毛坯,无,2,2,1,2,0,1,0,1,0,0,1,0
3205,商品房,70.0,集中供暖,保利海德公园,2016.0,塔楼,钢混结构,50.0,518.0,10.0,平层,满五年,商业办公类,非共有,278,0.13636363636363635,低楼层,知春路,海淀,其他,有,1,1,1,2,0,0,1,0,0,0,0,0
3287,已购公房,70.0,集中供暖,北无宿舍,1995.0,板楼,混合结构,61.0,555.0,6.0,平层,满五年,普通住宅,非共有,241,0.5,低楼层,紫竹桥,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3288,已购公房,70.0,集中供暖,北无宿舍,1981.0,板楼,混合结构,50.5,470.0,5.0,平层,满五年,普通住宅,非共有,194,0.3333333333333333,中楼层,紫竹桥,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
3289,商品房,70.0,集中供暖,北无宿舍,1995.0,板楼,混合结构,54.8,375.0,6.0,平层,满五年,普通住宅,非共有,114,0.5,地下室,紫竹桥,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
3290,已购公房,70.0,集中供暖,北无宿舍,1985.0,板楼,混合结构,68.22,588.0,6.0,平层,满五年,普通住宅,非共有,109,0.5,高楼层,紫竹桥,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
3292,商品房,70.0,集中供暖,北无宿舍,1980.0,板楼,混合结构,39.4,389.0,6.0,平层,满两年,普通住宅,非共有,177,0.5,中楼层,紫竹桥,海淀,其他,无,1,1,1,1,0,0,0,1,0,0,1,0
3293,商品房,70.0,集中供暖,北无宿舍,1994.0,板楼,混合结构,35.9,295.0,6.0,平层,满五年,普通住宅,非共有,283,0.3333333333333333,地下室,紫竹桥,海淀,简装,无,1,1,1,1,0,1,0,0,0,0,0,0
3294,商品房,70.0,集中供暖,北无宿舍,1980.0,板楼,混合结构,63.8,580.0,6.0,平层,满五年,普通住宅,非共有,383,0.5,顶层,紫竹桥,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3295,商品房,70.0,集中供暖,北无宿舍,1985.0,板楼,混合结构,53.04,580.0,6.0,平层,满五年,普通住宅,非共有,394,0.3333333333333333,高楼层,紫竹桥,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
3409,私产,70.0,集中供暖,都景苑,2001.0,塔楼,钢混结构,150.33,1105.0,24.0,平层,满五年,普通住宅,非共有,198,0.375,高楼层,牡丹园,海淀,精装,有,3,2,1,2,0,0,0,0,0,0,0,1
3410,商品房,70.0,集中供暖,都景苑,2001.0,塔楼,钢混结构,121.6,855.0,24.0,平层,满五年,普通住宅,非共有,254,0.3,高楼层,牡丹园,海淀,精装,有,2,1,1,2,0,0,0,1,0,0,0,0
3411,商品房,70.0,集中供暖,都景苑,2001.0,塔楼,钢混结构,130.48,1030.0,24.0,复式,满五年,普通住宅,非共有,367,0.3,高楼层,牡丹园,海淀,精装,有,3,2,1,1,0,1,0,0,0,0,0,0
3413,商品房,70.0,集中供暖,都景苑,2001.0,塔楼,钢混结构,106.99,717.0,24.0,平层,满五年,普通住宅,非共有,298,0.375,低楼层,牡丹园,海淀,简装,有,4,1,1,1,1,0,0,0,0,0,0,0
3470,商品房,70.0,集中供暖,东南小区,1984.0,板楼,混合结构,59.6,682.0,6.0,平层,满五年,普通住宅,非共有,260,0.3333333333333333,顶层,中关村,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
3471,商品房,70.0,集中供暖,东南小区,1988.0,板楼,混合结构,60.1,778.0,6.0,平层,满五年,普通住宅,共有,211,0.5,底层,中关村,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
3472,商品房,70.0,集中供暖,东南小区,1984.0,板楼,混合结构,78.7,1060.0,5.0,平层,满五年,普通住宅,共有,214,0.5,中楼层,中关村,海淀,毛坯,无,3,1,1,1,0,0,0,1,0,0,1,0
3473,商品房,70.0,集中供暖,东南小区,1983.0,板楼,混合结构,61.1,700.0,6.0,平层,满五年,普通住宅,非共有,230,0.3333333333333333,低楼层,中关村,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3474,商品房,70.0,集中供暖,东南小区,1987.0,塔楼,钢混结构,64.8,750.0,16.0,平层,满五年,普通住宅,非共有,276,0.25,低楼层,中关村,海淀,其他,有,2,1,1,1,0,0,0,1,0,0,0,0
3475,商品房,70.0,集中供暖,东南小区,1983.0,板楼,混合结构,82.7,970.0,5.0,平层,满五年,普通住宅,共有,291,0.5,顶层,中关村,海淀,精装,无,3,1,1,1,0,0,0,1,0,0,1,0
3476,商品房,70.0,集中供暖,东南小区,1984.0,板楼,混合结构,81.0,1105.0,5.0,平层,满五年,普通住宅,非共有,287,0.5,中楼层,中关村,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
3479,商品房,70.0,集中供暖,东南小区,1997.0,板楼,混合结构,67.25,770.0,6.0,平层,满五年,普通住宅,非共有,394,0.5,中楼层,中关村,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3480,商品房,70.0,集中供暖,东南小区,1980.0,板塔结合,钢混结构,58.2,690.0,12.0,平层,满五年,普通住宅,非共有,389,0.125,中楼层,中关村,海淀,简装,有,2,1,1,1,0,0,0,1,0,0,0,0
3481,商品房,70.0,集中供暖,东南小区,1986.0,板楼,混合结构,57.2,680.0,6.0,平层,满五年,普通住宅,非共有,304,0.3333333333333333,底层,中关村,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3482,商品房,70.0,集中供暖,东南小区,1982.0,板楼,混合结构,69.2,851.0,6.0,平层,满五年,普通住宅,非共有,346,0.3333333333333333,中楼层,中关村,海淀,精装,无,3,1,1,1,0,0,0,1,0,0,1,0
3483,商品房,70.0,集中供暖,东南小区,1986.0,板塔结合,钢混结构,57.9,737.5,12.0,平层,满五年,普通住宅,非共有,303,0.25,低楼层,中关村,海淀,精装,有,2,1,1,1,0,0,0,1,0,0,0,0
3488,商品房,70.0,集中供暖,东南小区,1984.0,板楼,混合结构,79.7,1130.0,5.0,平层,满五年,普通住宅,非共有,384,0.5,中楼层,中关村,海淀,精装,无,3,1,1,1,0,0,0,1,0,0,1,0
3967,已购公房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,70.6,514.0,5.0,平层,满五年,普通住宅,非共有,44,0.5,底层,甘家口,海淀,毛坯,无,3,1,1,1,0,0,0,1,0,0,1,0
3968,已购公房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,71.0,532.0,5.0,平层,满五年,普通住宅,非共有,161,0.5,中楼层,甘家口,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
3970,商品房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,56.24,450.0,5.0,平层,满两年,普通住宅,非共有,221,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3971,商品房,70.0,集中供暖,阜北小区,1978.0,板楼,混合结构,55.02,450.0,5.0,平层,满五年,普通住宅,非共有,135,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3972,商品房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,61.93,470.0,5.0,平层,满五年,普通住宅,非共有,189,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,0,0
3973,商品房,70.0,集中供暖,阜北小区,1960.0,板楼,混合结构,62.1,468.0,5.0,平层,满五年,普通住宅,非共有,280,0.3333333333333333,顶层,甘家口,海淀,简装,无,2,1,1,2,0,0,0,1,0,0,0,0
3975,商品房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,56.27,485.0,5.0,平层,满五年,普通住宅,非共有,248,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
3976,商品房,70.0,集中供暖,阜北小区,1977.0,板楼,混合结构,48.2,424.0,5.0,平层,满两年,普通住宅,共有,324,0.3333333333333333,中楼层,甘家口,海淀,简装,无,2,1,1,1,0,1,1,1,0,0,0,0
3977,商品房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,71.0,606.0,5.0,平层,满五年,普通住宅,非共有,296,0.5,中楼层,甘家口,海淀,精装,无,3,0,1,1,0,0,0,1,0,0,1,0
3978,商品房,70.0,集中供暖,阜北小区,1978.0,板楼,混合结构,53.6,472.0,5.0,平层,满五年,普通住宅,共有,294,0.3333333333333333,中楼层,甘家口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
3979,商品房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,56.27,550.0,5.0,平层,满五年,普通住宅,非共有,361,0.3333333333333333,中楼层,甘家口,海淀,其他,无,2,1,1,1,0,0,0,1,0,0,1,0
3981,商品房,70.0,集中供暖,阜北小区,1966.0,板楼,混合结构,71.0,580.0,5.0,平层,满五年,普通住宅,非共有,346,0.5,中楼层,甘家口,海淀,简装,无,3,0,1,1,0,0,0,1,0,0,1,0
4074,商品房,70.0,集中供暖,大钟寺甲133号院,1996.0,板楼,混合结构,46.3,400.0,6.0,平层,满两年,普通住宅,共有,241,0.3333333333333333,高楼层,皂君庙,海淀,精装,无,1,1,1,1,0,0,0,1,0,0,0,0
4075,商品房,70.0,集中供暖,大钟寺甲133号院,1996.0,板楼,混合结构,60.6,550.0,6.0,平层,满五年,普通住宅,非共有,360,0.5,中楼层,皂君庙,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
4076,商品房,70.0,集中供暖,大钟寺甲133号院,1996.0,板楼,混合结构,46.02,456.0,6.0,平层,满五年,普通住宅,非共有,355,0.5,低楼层,皂君庙,海淀,精装,无,1,1,1,1,0,0,0,1,0,0,0,0
4114,已购公房,70.0,集中供暖,倒座庙,1980.0,板楼,混合结构,58.7,598.0,6.0,平层,满五年,普通住宅,非共有,47,0.3333333333333333,中楼层,苏州桥,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
