,东,东北,东南,交易权属,产权年限,供暖方式,北,南,卫,厅,厨,室,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,西,西北,西南,配备电梯,实际成交价,预测价,相对误差
18,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,车道沟10号院,1986.0,板楼,混合结构,41.8,5.0,平层,满五年,普通住宅,非共有,349.0,0.3333333333333333,中楼层,紫竹桥,海淀,简装,,,,无,460.0,503.95068908805047,0.09554497627837058
19,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,3.0,科源小区,1970.0,板楼,混合结构,71.65,4.0,平层,满五年,普通住宅,非共有,278.0,0.5,中楼层,五道口,海淀,简装,,,,无,752.0,710.4365268898642,0.05527057594432947
20,1.0,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,1.0,建西苑北里,1993.7698001480385,板塔结合,钢混结构,70.35,14.0,平层,满五年,普通住宅,非共有,88.0,0.25,中楼层,杨庄,海淀,其他,,,,有,418.0,294.23347274887897,0.29609217045722735
21,,,,商品房,70.0,自供暖,1.0,1.0,1.0,1.0,1.0,2.0,科委宿舍,1986.0,板楼,混合结构,72.9,6.0,平层,满五年,普通住宅,非共有,208.0,0.5,中楼层,定慧寺,海淀,其他,,,,无,790.0,751.9817915525455,0.048124314490448766
22,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,建设研究院,1980.0,板楼,混合结构,52.5,6.0,平层,满五年,普通住宅,非共有,357.0,0.3333333333333333,高楼层,五棵松,海淀,简装,,,,无,472.5,447.53922667992174,0.052827033481647113
23,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,厂洼街3号院,2000.0,板楼,混合结构,45.2,6.0,平层,满五年,普通住宅,非共有,50.0,0.3333333333333333,高楼层,厂洼,海淀,精装,,,,无,413.0,495.29035108865673,0.19925024476672332
24,,,1.0,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,清润家园,2010.0,塔楼,钢混结构,78.32,17.0,平层,满五年,普通住宅,非共有,312.0,0.2,高楼层,清河,海淀,精装,,,,有,576.0,554.4925418230389,0.0373393371127797
25,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,明光村小区,1988.0,板楼,砖混结构,36.6,5.0,平层,满五年,普通住宅,共有,318.0,0.3333333333333333,中楼层,西直门,海淀,简装,,,,无,360.0,354.2841705930805,0.015877303908109753
26,,,,商品房,70.0,集中供暖,,1.0,1.0,2.0,1.0,2.0,富力桃园C区,2009.0,板塔结合,钢混结构,90.7,21.0,平层,满五年,普通住宅,非共有,367.0,0.5,高楼层,西三旗,海淀,精装,,,,有,580.0,590.9252506987515,0.01883663913577842
27,,,,商品房,70.0,自供暖,1.0,1.0,2.0,2.0,1.0,3.0,玉阜嘉园,2002.0,板楼,钢混结构,149.15,11.0,平层,满五年,普通住宅,非共有,340.0,0.5,低楼层,玉泉路,海淀,其他,,,,有,1095.0,1057.019699159021,0.0346852062474694
28,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,皂君东里,1988.0,板楼,混合结构,64.5,6.0,平层,满五年,普通住宅,非共有,194.0,0.3333333333333333,底层,皂君庙,海淀,精装,,,,无,540.0,571.1440938743941,0.05767424791554466
29,1.0,,,限价商品房,70.0,集中供暖,1.0,1.0,2.0,1.0,1.0,3.0,金隅美和园,2008.0,板楼,钢混结构,88.65,9.0,平层,满五年,普通住宅,非共有,50.0,0.3333333333333333,高楼层,清河,海淀,其他,,,,有,590.0,630.1870078391413,0.06811357260871408
30,1.0,,,商品房,70.0,集中供暖,1.0,,1.0,1.0,1.0,2.0,双榆树东里,1985.0,塔楼,钢混结构,55.8,16.0,平层,满五年,普通住宅,非共有,348.0,0.2222222222222222,低楼层,双榆树,海淀,精装,,,,有,576.0,547.8931780912067,0.04879656581387732
31,1.0,,,私产,70.0,集中供暖,,,1.0,1.0,1.0,1.0,鑫雅苑,2000.0,塔楼,钢混结构,66.77,20.0,平层,满五年,普通住宅,非共有,256.0,0.2222222222222222,中楼层,皂君庙,海淀,简装,,,,有,530.0,551.1934394787279,0.03998762165797716
32,,,1.0,商品房,70.0,集中供暖,,,1.0,1.0,1.0,3.0,恩济庄46号院,1995.0,塔楼,钢混结构,92.07,14.0,平层,满五年,普通住宅,非共有,103.0,0.2,中楼层,定慧寺,海淀,其他,,,,有,621.0,665.6933021263764,0.07196989070269944
33,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,翠微北里,1989.0,塔楼,钢混结构,51.8,24.0,平层,满五年,普通住宅,非共有,267.0,0.25,中楼层,公主坟,海淀,简装,,,,有,492.0,504.7890976873406,0.025994100990529647
34,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,玉泉路16号院,1995.0,板楼,混合结构,45.3,6.0,平层,满五年,普通住宅,非共有,356.0,0.3333333333333333,中楼层,玉泉路,海淀,简装,,,,无,366.0,288.85866558688053,0.21076867325988924
35,1.0,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,1.0,乔建里,1980.0,板楼,混合结构,41.0,6.0,平层,满五年,普通住宅,非共有,146.0,0.3333333333333333,低楼层,军博,海淀,精装,,,,无,301.0,282.8940038418351,0.06015281115669397
36,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,清河饮食服务楼,1987.0,板楼,混合结构,50.4,6.0,平层,满两年,普通住宅,共有,90.0,0.3333333333333333,高楼层,清河,海淀,其他,,1.0,,无,298.0,257.67409902181316,0.13532181536304308
37,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,1.0,润生园,2008.0,板楼,钢混结构,60.35,18.0,平层,满五年,普通住宅,共有,105.0,1.0,底层,西三旗,海淀,其他,,1.0,,有,335.0,259.1394481041033,0.22644940864446783
38,,,,商品房,70.0,自供暖,1.0,1.0,1.0,1.0,1.0,2.0,门头馨村,2008.0,板楼,混合结构,89.99,4.0,平层,满两年,普通住宅,非共有,385.0,0.5,底层,西山,海淀,简装,,,,无,564.0,441.3928164553719,0.21738862330607825
39,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,3.0,双榆树东里,1985.0,板楼,混合结构,70.1,6.0,平层,满两年,普通住宅,非共有,333.0,0.3333333333333333,低楼层,双榆树,海淀,精装,,,,无,739.8,675.2153270704245,0.0873001796831245
40,1.0,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,玉海园二里,1999.0,板塔结合,钢混结构,78.0,11.0,平层,满五年,普通住宅,非共有,321.0,0.25,中楼层,玉泉路,海淀,简装,,,,有,595.0,508.6766056925442,0.145081334970514
41,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,阳春光华家园,2000.0,塔楼,钢混结构,87.46,16.0,平层,满五年,普通住宅,非共有,160.0,0.25,中楼层,万柳,海淀,其他,,,1.0,有,1100.0,1034.9695820455872,0.05911856177673888
42,1.0,,,私产,70.0,集中供暖,1.0,1.0,2.0,2.0,1.0,3.0,天兆家园,2002.0,板楼,钢混结构,169.23,22.0,平层,满五年,普通住宅,非共有,131.0,1.0,低楼层,西直门,海淀,精装,,,,有,1660.0,1621.3342851978678,0.023292599278392917
43,,,,已购公房,70.0,集中供暖,,1.0,1.0,1.0,1.0,1.0,大柳树甲17号院,1988.0,板楼,砖混结构,38.4,5.0,平层,满五年,普通住宅,非共有,103.0,0.3333333333333333,中楼层,白石桥,海淀,简装,,,,无,332.8,395.68078484662715,0.18894466600549017
44,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,永泰庄6号院,1991.0,板楼,混合结构,57.48,6.0,平层,满五年,普通住宅,共有,233.0,0.5,中楼层,清河,海淀,简装,,,,无,396.0,417.5373703235871,0.05438729879693708
45,,,,已购公房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,菊园,1994.0,板楼,混合结构,62.5,6.0,平层,满五年,普通住宅,非共有,288.0,0.5,中楼层,马连洼,海淀,简装,,,,无,438.0,414.15457162202756,0.054441617301306935
46,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,明光村小区,1983.0,塔楼,钢混结构,60.2,18.0,平层,满两年,普通住宅,非共有,261.0,0.3333333333333333,中楼层,西直门,海淀,精装,,,,有,520.0,483.59382300195193,0.07001187884240014
47,,,,商品房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,西三环北路23号院,1988.0,板楼,混合结构,54.5,6.0,平层,满五年,普通住宅,非共有,279.0,0.3333333333333333,中楼层,厂洼,海淀,精装,,,,无,500.0,510.9527400116608,0.021905480023321617
48,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,农林科学院宿舍,1980.0,板楼,混合结构,56.8,4.0,平层,满两年,普通住宅,非共有,115.0,0.5,顶层,四季青,海淀,简装,,,,无,475.0,458.1349663307392,0.03550533404054908
49,,,,央产房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,核二院,1990.0,板楼,混合结构,69.9,5.0,平层,满两年,普通住宅,非共有,327.0,0.3333333333333333,中楼层,定慧寺,海淀,简装,,,,无,690.0,633.9841479469455,0.08118239427978907
50,,,1.0,商品房,70.0,集中供暖,,,2.0,2.0,1.0,3.0,人济山庄,2003.0,塔楼,钢混结构,171.6,26.0,平层,满五年,普通住宅,非共有,131.0,0.3333333333333333,中楼层,紫竹桥,海淀,精装,,,,有,1550.0,1506.872758961525,0.027824026476435452
51,,,,已购公房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,玉泉路16号院,1985.0,板楼,混合结构,50.2,5.0,平层,满五年,普通住宅,非共有,51.0,0.3333333333333333,顶层,玉泉路,海淀,简装,,,,无,348.0,283.7892022839684,0.18451378654032072
52,,,,商品房,70.0,集中供暖,,,1.0,1.0,1.0,4.0,都景苑,2001.0,塔楼,钢混结构,106.99,24.0,平层,满五年,普通住宅,非共有,298.0,0.375,低楼层,牡丹园,海淀,简装,,1.0,,有,717.0,806.0473242121144,0.1241943154980675
